year,region,country,country_label,poe,state,total_arrivals,male_arrivals,female_arrivals
2023,Asia,TUR,Turkey,LTA Subang Terminal 3,Selangor,69,47,22
2023,Asia,CHN,China,Rantau Panjang,Kelantan,68,33,35
2023,Asia,LBN,Lebanon,Gelang Patah,Johor,68,40,28
2023,Asia,SGP,Singapore,ICQ Durian Burung,Kedah,67,37,30
2023,Asia,AFG,Afghanistan,LTA Kuala Lumpur Terminal 2,Selangor,66,50,16
2023,Asia,NPL,Nepal,Bukit Kayu Hitam,Kedah,66,42,24
2023,Asia,BRN,Brunei Darussalam,Pelabuhan Klang Barat - SCT,Selangor,65,29,36
2023,Asia,IRN,Iran,Bukit Kayu Hitam,Kedah,64,44,20
2023,Asia,TUR,Turkey,LTA Kota Kinabalu,Sabah,64,38,26
2023,Asia,TUR,Turkey,Pelabuhan Tanjung Pelepas,Johor,64,64,0
2023,Asia,JPN,Japan,Pelabuhan Klang Barat - SCT,Selangor,63,24,39
2023,Asia,KOR,Korea,Pandaruan,Sarawak,63,41,22
2023,Asia,PAK,Pakistan,LT Tawau,Sabah,63,57,6
2023,Asia,PHL,Philippines,LT Tawau,Sabah,63,17,46
2023,Asia,BTN,Bhutan,Gelang Patah,Johor,62,41,21
2023,Asia,IRN,Iran,LTA Langkawi,Kedah,62,27,35
2023,Asia,KOR,Korea,Tanjung Pengelih,Johor,62,34,28
2023,Asia,THA,Thailand,LT Tawau,Sabah,62,25,37
2023,Asia,IND,India,Jeti Pasir Gudang,Johor,61,50,11
2023,Asia,LAO,Lao People's Democratic Republic,Sungai Tujuh,Sarawak,61,13,48
2023,Asia,PAK,Pakistan,Pelabuhan Klang Barat - KMT,Selangor,61,34,27
2023,Asia,TWN,Taiwan,Terminal Feri Puteri Harbour,Johor,61,21,40
2023,Asia,BGD,Bangladesh,Pejabat Imigresen Desaru Coast,Johor,60,58,2
2023,Asia,MMR,Myanmar,Pos Imigresen Mengkalap,Sarawak,60,35,25
2023,Asia,SAU,Saudi Arabia,Padang Besar,Perlis,60,41,19
2023,Asia,SAU,Saudi Arabia,Sungai Tujuh,Sarawak,60,43,17
2023,Asia,BGD,Bangladesh,Pelabuhan Tanjung Pelepas,Johor,59,59,0
2023,Asia,IDN,Indonesia,LT Sandakan,Sabah,59,27,32
2023,Asia,PHL,Philippines,Tebedu,Sarawak,59,18,41
2023,Asia,VNM,Vietnam,Telaga Harbour Park,Kedah,59,29,30
2023,Asia,ARM,Armenia,Gelang Patah,Johor,58,18,40
2023,Asia,MDV,Maldives,LTA Bayan Lepas,Pulau_Pinang,58,32,26
2023,Asia,VNM,Vietnam,Pelabuhan Klang Utara,Selangor,58,24,34
2023,Asia,IRN,Iran,Padang Besar,Perlis,57,36,21
2023,Asia,KOR,Korea,Dermaga Labuan,Labuan,57,36,21
2023,Asia,LKA,Sri Lanka,LTA Kuching,Sarawak,57,35,22
2023,Asia,BRN,Brunei Darussalam,Pengkalan Kubur,Kelantan,56,30,26
2023,Asia,JPN,Japan,LT Bintulu,Sarawak,56,48,8
2023,Asia,MMR,Myanmar,Padang Besar,Perlis,56,7,49
2023,Asia,TUR,Turkey,LTA Sultan Ismail Senai,Johor,56,34,22
2023,Asia,TWN,Taiwan,LTA Kuantan,Pahang,56,25,31
2023,Asia,BGD,Bangladesh,Pelabuhan Klang Barat - SCT,Selangor,55,38,17
2023,Asia,LKA,Sri Lanka,Bukit Kayu Hitam,Kedah,55,49,6
2023,Asia,OMN,Oman,LTA Langkawi,Kedah,55,29,26
2023,Asia,KOR,Korea,Pengkalan Hulu (Bukit Berapit),Perak,54,38,16
2023,Asia,PSE,Palestinian Territory,Bangunan Sultan Iskandar,Johor,53,39,14
2023,Asia,TUR,Turkey,Telaga Harbour Park,Kedah,53,35,18
2023,Asia,TUR,Turkey,Jeti Kuah Langkawi,Kedah,52,34,18
2023,Asia,TWN,Taiwan,LT Sibu,Sarawak,52,20,32
2023,Asia,VNM,Vietnam,Jeti Kuah Langkawi,Kedah,52,12,40
2023,Asia,MNG,Mongolia,LTA Kota Kinabalu,Sabah,51,18,33
2023,Asia,PHL,Philippines,LT Sibu,Sarawak,51,13,38
2023,Asia,TUR,Turkey,Pos Imigresen Mengkalap,Sarawak,51,39,12
2023,Asia,BRN,Brunei Darussalam,Rantau Panjang,Kelantan,50,35,15
