country,poe,state,Total_Arrivals
SGP,Pengkalan Hulu (Bukit Berapit),Perak,10147
IDN,Pos Imigresen Mengkalap,Sarawak,10012
KOR,LTA Bayan Lepas,Pulau_Pinang,9938
NOR,LTA Kuala Lumpur Terminal 1,Selangor,9816
KHM,Pengkalan Kubur,Kelantan,9798
TUN,LTA Kuala Lumpur Terminal 1,Selangor,9760
KOR,Woodlands Train Checkpoint,Singapore,9306
BRA,LTA Kuala Lumpur Terminal 1,Selangor,9064
PHL,Woodlands Train Checkpoint,Singapore,9050
IND,Pelabuhan Klang Barat - KMT,Selangor,8909
GBR,LTA Kota Kinabalu,Sabah,8878
IDN,Pelabuhan Klang Selatan - Jeti,Selangor,8866
NLD,Bangunan Sultan Iskandar,Johor,8861
CAN,LTA Bayan Lepas,Pulau_Pinang,8744
PAK,Gelang Patah,Johor,8686
BRA,LTA Kuala Lumpur Terminal 2,Selangor,8643
SWE,LTA Kuala Lumpur Terminal 2,Selangor,8628
IRL,LTA Kuala Lumpur Terminal 2,Selangor,8569
IDN,Padang Besar,Perlis,8549
NPL,Gelang Patah,Johor,8428
DEU,Pelabuhan Klang Barat - SCT,Selangor,8396
PHL,Bukit Kayu Hitam,Kedah,8282
CHE,LTA Kuala Lumpur Terminal 2,Selangor,8222
BRN,LT Miri,Sarawak,8204
PAK,Bangunan Sultan Iskandar,Johor,8172
SGP,Tanjung Pengelih,Johor,8060
SGP,Sungai Tujuh,Sarawak,8012
LBY,LTA Kuala Lumpur Terminal 1,Selangor,7929
FIN,LTA Kuala Lumpur Terminal 1,Selangor,7911
PRT,LTA Kuala Lumpur Terminal 1,Selangor,7878
FRA,LTA Bayan Lepas,Pulau_Pinang,7864
BRN,LTA Kuching,Sarawak,7704
ROU,LTA Kuala Lumpur Terminal 1,Selangor,7688
NZL,Gelang Patah,Johor,7599
SGP,Pelabuhan Klang Utara,Selangor,7506
LKA,Gelang Patah,Johor,7506
AUS,LTA Kota Kinabalu,Sabah,7379
BGD,LTA Bayan Lepas,Pulau_Pinang,7293
IDN,Pelabuhan Klang Barat - SCT,Selangor,7136
CHN,LTA Kuching,Sarawak,6976
AUS,LTA Langkawi,Kedah,6897
ITA,Gelang Patah,Johor,6837
BEL,LTA Kuala Lumpur Terminal 2,Selangor,6815
CZE,LTA Kuala Lumpur Terminal 1,Selangor,6755
JPN,LTA Kota Kinabalu,Sabah,6726
HUN,LTA Kuala Lumpur Terminal 1,Selangor,6698
NZL,Bangunan Sultan Iskandar,Johor,6689
KEN,LTA Kuala Lumpur Terminal 1,Selangor,6531
PSE,LTA Kuala Lumpur Terminal 1,Selangor,6508
XXX,LTA Kuala Lumpur Terminal 1,Selangor,6465
TUR,LTA Kuala Lumpur Terminal 2,Selangor,6455
EGY,LTA Kuala Lumpur Terminal 2,Selangor,6415
SGP,LTA Kuantan,Pahang,6408
NPL,LTA Kuala Lumpur Terminal 2,Selangor,6330
PHL,Dermaga Sandakan,Sabah,6233
ESP,Gelang Patah,Johor,6153
RUS,Bukit Kayu Hitam,Kedah,6133
DNK,LTA Kuala Lumpur Terminal 2,Selangor,6121
ZAF,LTA Kuala Lumpur Terminal 2,Selangor,6068
CHN,Bukit Kayu Hitam,Kedah,6050
IND,Pengkalan Hulu (Bukit Berapit),Perak,6027
ITA,Bangunan Sultan Iskandar,Johor,5968
KAZ,LTA Kuala Lumpur Terminal 2,Selangor,5944
USA,LTA Kota Kinabalu,Sabah,5909
VNM,Bukit Kayu Hitam,Kedah,5887
AUS,LTA Kuching,Sarawak,5875
NPL,Bangunan Sultan Iskandar,Johor,5863
POL,Gelang Patah,Johor,5668
PRT,LTA Kuala Lumpur Terminal 2,Selangor,5614
KHM,Bangunan Sultan Iskandar,Johor,5562
MEX,LTA Kuala Lumpur Terminal 2,Selangor,5552
MEX,LTA Kuala Lumpur Terminal 1,Selangor,5475
SOM,LTA Kuala Lumpur Terminal 1,Selangor,5305
UZB,LTA Kuala Lumpur Terminal 2,Selangor,5161
AUT,LTA Kuala Lumpur Terminal 2,Selangor,5015
MAR,LTA Kuala Lumpur Terminal 2,Selangor,4914
MMR,LTA Bayan Lepas,Pulau_Pinang,4876
SGP,LTA Sultan Ismail Senai,Johor,4846
BRN,Bangunan Sultan Iskandar,Johor,4831
NLD,LTA Bayan Lepas,Pulau_Pinang,4797
IDN,Pandaruan,Sarawak,4689
NOR,LTA Kuala Lumpur Terminal 2,Selangor,4675
LAO,LTA Kuala Lumpur Terminal 2,Selangor,4671
IRN,LTA Kuala Lumpur Terminal 2,Selangor,4611
ROU,LTA Kuala Lumpur Terminal 2,Selangor,4531
USA,LTA Langkawi,Kedah,4493
PHL,Pos Imigresen Mengkalap,Sarawak,4373
YEM,LTA Kuala Lumpur Terminal 2,Selangor,4373
CHN,Sungai Tujuh,Sarawak,4344
KHM,Bukit Kayu Hitam,Kedah,4214
DEU,LTA Langkawi,Kedah,4206
ESP,Bangunan Sultan Iskandar,Johor,4203
MUS,LTA Kuala Lumpur Terminal 2,Selangor,4202
LBN,LTA Kuala Lumpur Terminal 1,Selangor,4193
ARG,LTA Kuala Lumpur Terminal 2,Selangor,4188
CHE,Gelang Patah,Johor,4176
IND,Woodlands Train Checkpoint,Singapore,4150
GBR,Bukit Kayu Hitam,Kedah,4149
CZE,LTA Kuala Lumpur Terminal 2,Selangor,4142
PHL,Pelabuhan Tanjung Pelepas,Johor,4132
FRA,LTA Langkawi,Kedah,4126
RUS,Gelang Patah,Johor,4121
NZL,LTA Bayan Lepas,Pulau_Pinang,4102
BRN,Roro Labuan,Labuan,3996
FIN,LTA Kuala Lumpur Terminal 2,Selangor,3994
MNG,LTA Kuala Lumpur Terminal 1,Selangor,3945
RUS,Wang Kelian,Perlis,3905
SGP,Padang Besar,Perlis,3905
SGP,LT Sibu,Sarawak,3901
USA,Pelabuhan Klang Barat - SCT,Selangor,3875
SVK,LTA Kuala Lumpur Terminal 1,Selangor,3832
CHN,LT Tawau,Sabah,3793
RUS,LTA Bayan Lepas,Pulau_Pinang,3768
AUS,LTA Ipoh,Perak,3712
VNM,Padang Besar,Perlis,3710
GBR,LTA Subang Terminal 3,Selangor,3706
THA,Sungai Tujuh,Sarawak,3657
CHE,Bangunan Sultan Iskandar,Johor,3614
BHR,LTA Kuala Lumpur Terminal 1,Selangor,3582
IND,LTA Kota Kinabalu,Sabah,3581
CAN,Sungai Tujuh,Sarawak,3575
QAT,LTA Kuala Lumpur Terminal 1,Selangor,3548
KGZ,LTA Kuala Lumpur Terminal 1,Selangor,3522
SGP,Stulang Laut,Johor,3509
GBR,LTA Kuching,Sarawak,3505
ARG,LTA Kuala Lumpur Terminal 1,Selangor,3504
IDN,LTA Kota Kinabalu,Sabah,3418
LAO,Wang Kelian,Perlis,3413
HUN,LTA Kuala Lumpur Terminal 2,Selangor,3409
IND,Bukit Kayu Hitam,Kedah,3381
BLR,LTA Kuala Lumpur Terminal 2,Selangor,3309
LAO,Padang Besar,Perlis,3298
TLS,LTA Kuala Lumpur Terminal 1,Selangor,3293
KHM,Wang Kelian,Perlis,3290
TZA,LTA Kuala Lumpur Terminal 1,Selangor,3272
NPL,Sungai Tujuh,Sarawak,3258
DNK,Gelang Patah,Johor,3251
LTU,LTA Kuala Lumpur Terminal 1,Selangor,3243
GBR,Telaga Harbour Park,Kedah,3230
TUN,LTA Kuala Lumpur Terminal 2,Selangor,3226
IRL,Gelang Patah,Johor,3199
IDN,Pelabuhan Klang Barat - KMT,Selangor,3185
IRN,Gelang Patah,Johor,3183
KHM,Rantau Panjang,Kelantan,3107
BLR,LTA Kuala Lumpur Terminal 1,Selangor,3103
IND,Tedungan,Sarawak,3096
DEU,Bukit Kayu Hitam,Kedah,3089
GBR,Jeti Kuah Langkawi,Kedah,3070
GRC,LTA Kuala Lumpur Terminal 1,Selangor,3070
DEU,Jeti Kuah Langkawi,Kedah,3035
SWE,Gelang Patah,Johor,3021
ZAF,Gelang Patah,Johor,3020
BGR,LTA Kuala Lumpur Terminal 1,Selangor,3006
USA,Bukit Kayu Hitam,Kedah,2908
VNM,Sungai Tujuh,Sarawak,2908
RUS,Bangunan Sultan Iskandar,Johor,2902
EGY,Bangunan Sultan Iskandar,Johor,2896
DEU,Telaga Harbour Park,Kedah,2885
BEL,Gelang Patah,Johor,2875
TUR,Bangunan Sultan Iskandar,Johor,2844
AUS,Sungai Tujuh,Sarawak,2839
HRV,LTA Kuala Lumpur Terminal 1,Selangor,2826
USA,LTA Kuching,Sarawak,2814
AUS,Woodlands Train Checkpoint,Singapore,2792
CHN,Pelabuhan Klang Barat - SCT,Selangor,2759
CHL,LTA Kuala Lumpur Terminal 2,Selangor,2759
PHL,Padang Besar,Perlis,2742
JPN,LTA Langkawi,Kedah,2698
SVK,LTA Kuala Lumpur Terminal 2,Selangor,2647
OMN,LTA Kuala Lumpur Terminal 2,Selangor,2638
IND,Pelabuhan Tanjung Pelepas,Johor,2623
IDN,Rantau Panjang,Kelantan,2599
CHN,Pelabuhan Klang Barat - KMT,Selangor,2596
GBR,Tedungan,Sarawak,2588
POL,Bangunan Sultan Iskandar,Johor,2569
MNG,LTA Kuala Lumpur Terminal 2,Selangor,2568
CHN,LTA Subang Terminal 3,Selangor,2532
CHE,LTA Bayan Lepas,Pulau_Pinang,2519
BRA,Gelang Patah,Johor,2511
USA,LTA Subang Terminal 3,Selangor,2510
LAO,Rantau Panjang,Kelantan,2505
AUS,LTA Subang Terminal 3,Selangor,2493
IND,LTA Subang Terminal 3,Selangor,2466
TWN,Woodlands Train Checkpoint,Singapore,2465
ZWE,LTA Kuala Lumpur Terminal 1,Selangor,2455
IDN,Pengkalan Hulu (Bukit Berapit),Perak,2453
CAN,LTA Kota Kinabalu,Sabah,2438
AUS,Bukit Kayu Hitam,Kedah,2418
FRA,Telaga Harbour Park,Kedah,2402
ITA,LTA Bayan Lepas,Pulau_Pinang,2397
GBR,Padang Besar,Perlis,2385
DEU,LTA Kota Kinabalu,Sabah,2384
LAO,LTA Kuala Lumpur Terminal 1,Selangor,2384
CHN,LTA Ipoh,Perak,2377
SWE,Bangunan Sultan Iskandar,Johor,2374
XXX,LTA Kuala Lumpur Terminal 2,Selangor,2329
PHL,Pelabuhan Klang Barat - SCT,Selangor,2320
LTU,LTA Kuala Lumpur Terminal 2,Selangor,2305
DEU,LTA Kuching,Sarawak,2296
ESP,LTA Bayan Lepas,Pulau_Pinang,2295
BRN,Gelang Patah,Johor,2294
FRA,Jeti Kuah Langkawi,Kedah,2287
USA,Woodlands Train Checkpoint,Singapore,2286
JPN,LTA Subang Terminal 3,Selangor,2248
